Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Серия,Цвет,Максимальная нагрузка,Вес,Weight,Высота,Размеры столешницы,Размеры ниши в столешнице,Материал столешницы,Материал основания,Гарантия,Комплектация,Размеры наклонного сегмента,ProductCodeToFind,Existance,Diller price,Max price,Diller Name,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"BOSS:N:B/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}///BOSS:N:B/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office Boss/N/B;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/B,Generic Comfort,Игровой компьютерный стол Generic Comfort Office Boss/N/B,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/B,Office,Черный/Синий,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/b) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BOSS:N:E/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}///BOSS:N:E/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/E;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/E,Generic Comfort,Игровой компьютерный стол Generic Comfort Office BOSS/N/E,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/E,Office,Черный/Зеленый,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/e) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BOSS:N:O/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}///BOSS:N:O/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/O;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/O,Generic Comfort,Игровой компьютерный стол Generic Comfort Office BOSS/N/O,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/O,Office,Черный/Оранжевый,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/o) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BOSS:N:R/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}///BOSS:N:R/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/R;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/R,Generic Comfort,Игровой компьютерный стол Generic Comfort Office BOSS/N/R,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/R,Office,Черный/Красный,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/r) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BOSS:N:W/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}///BOSS:N:W/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/W;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/W,Generic Comfort,Игровой компьютерный стол Generic Comfort Office BOSS/N/W,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/W,Office,Черный/Белый,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/w) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"BOSS:N:Y/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}///BOSS:N:Y/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office BOSS/N/Y;}",Столы для геймеров///Столы Generic Comfort,BOSS/N/Y,Generic Comfort,Игровой компьютерный стол Generic Comfort Office BOSS/N/Y,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",BOSS/N/Y,Office,Черный/Желтый,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,20,15990,19990,,18380,17460,20,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(boss/n/y) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"OFFICE:N/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}///OFFICE:N/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N;}",Столы для геймеров///Столы Generic Comfort,OFFICE/N,Generic Comfort,Игровой компьютерный стол Generic Comfort Office OFFICE/N,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",OFFICE/N,Office,Черный,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,0,12360,15450,,14210,13490,0,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(office/n) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"OFFICE:N:B/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}///OFFICE:N:B/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/B;}",Столы для геймеров///Столы Generic Comfort,OFFICE/N/B,Generic Comfort,Игровой компьютерный стол Generic Comfort Office OFFICE/N/B,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",OFFICE/N/B,Office,Черный/Синий,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,0,12360,15450,,14210,13490,0,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(office/n/b) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"OFFICE:N:E/1.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/2.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/3.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/4.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/5.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/6.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/7.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/8.jpg#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}///OFFICE:N:E/9.jpg
#{[ru]:Игровой компьютерный стол Generic Comfort Office OFFICE/N/E;}",Столы для геймеров///Столы Generic Comfort,OFFICE/N/E,Generic Comfort,Игровой компьютерный стол Generic Comfort Office OFFICE/N/E,"Generic Comfort Office Boss – компьютерный стол серии Office, выполненный в нестандартном дизайне. На поверхности стола методом ультрафиолетовой печати нанесено стильное изображение. Данная технология обеспечивает рисунку яркие насыщенные цвета и придает ему высокую стойкость к истиранию, благодаря чему рисунок получается долговечным. За счет особенностей УФ-печати, рисунок выступает над поверхностью на 0,2 мм, поэтому при работе за данным столом рекомендуется использовать коврик для мышки.

Цвет: черный, синий.
Ширина: 120 см.
Глубина: 80 см.
Высота: 75 см.
Максимальная нагрузка: 150 кг.
Размеры ниши в столешнице: трапеция с основаниями 40 и 55 см, высотой 20 см.

Generic Comfort серии Office - это компактные эргономичные столы, созданные специально для использования в офисах и везде, где требуется долгое время проводить за компьютером. Большая площадь столешницы позволяет разместить компьютер, папку с документами, настольный органайзер и многое другое. Трапециевидная ниша в передней части столешницы позволяет придвинуться к столу вплотную. Таким образом, локти лежат на поверхности стола и остаются расслабленными, руки не затекают, а осанка сохраняется ровной. Все это снижает утомляемость работника, а его концентрация сохраняется в течение всего дня.",OFFICE/N/E,Office,Черный/Зеленый,150 кг,45 кг,45 кг,75 см,120х80 см,"Трапеция с основаниями 40 и 55 см, высотой 20 см.",	ЛДСП,	ЛДСП,2 года,,,,0,12360,15450,,14210,13490,0,Купить Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY(office/n/e) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровой компьютерный стол Generic Comfort Gamer GAMER2/VS/NY ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
